City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
镇江,56,39,0,0.48,28,41,65,4
中山,39,27,36,0.63,49,25,32,6
中卫,62,34,72,0.5,15,56,29,12
周口,52,35,52,0.65,22,31,33,9
舟山,32,1,4,0.53,12,78,62,3
珠海,39,26,38,0.5,31,70,66,4
诸暨,27,13,18,0.8,32,43,53,5
驻马店,72,52,63,0.5,22,25,23,3
株洲,23,15,22,0.83,35,16,19,7
淄博,36,16,35,0.25,20,63,59,8
自贡,40,22,39,0.5,17,23,30,6
资阳,32,22,25,0.42,18,33,39,3
遵义,26,8,12,0.55,20,54,50,9
